Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	Difference (Difference between any and any above 1)	0	0.625	1.25	2.5	5	10	20	40
Spsb1	4	149896283	149955043	-	null					Not found	0	1.5578117	3.9419556	3.7609015	3.1911645	3.1274116	2.8793294	2.596541	2.5323906	2.3841438
Tnfrsf25	4	152115934	152120119	+	null					Not found	0	1.0614887	1.6621248	1.4932505	1.7431121	1.870682	2.2184181	2.3914897	2.2600183	2.5547392
Trp73	4	154056253	154140208	-	null					Not found	0	1.1063777	2.6574025	2.7609017	2.2736268	2.1379042	1.6719297	1.654524	1.7745914	1.7312045
Arhgef16	4	154278486	154301676	-	null					Not found	0	1.3522292	1.6431416	1.1573833	0.8951152	0.57370013	0.30664524	0.47802648	0.29091236	0.3901675
Prdm16	4	154316125	154636873	-	null					Not found	0	1.363818	2.256486	1.610434	1.2106171	1.1993047	1.4352294	0.9175585	1.189629	0.8926679
Cdk6	5	3341485	3531008	+	null					Not found	0	1.3698413	3.7512505	4.479311	4.8190036	4.9382725	5.066054	5.121092	5.0982676	5.1108108
Steap2	5	5664829	5694578	-	null					Not found	0	1.5201076	1.8965901	2.595004	2.81689	3.0628026	3.1553214	3.149289	3.4166977	3.2906318
Steap1	5	5736317	5749326	-	null					Not found	0	1.1135858	0.7622889	1.0407383	1.5012941	1.2773072	1.6528208	1.654524	1.8758748	1.6631861
Tmem243	5	9100668	9160986	+	null					Not found	0	1.1114385	2.3934216	1.6803362	1.9655045	1.3270601	1.2819831	1.63693	1.3624656	1.5056448
Ptpn12	5	20986645	21055911	-	null					Not found	0	1.3153431	3.9361184	4.359626	4.540253	4.8378077	5.0341043	5.0271387	5.1573005	5.2514615
Smarcd3	5	24590818	24624411	-	null					Not found	0	1.0492153	3.8723423	3.5423453	3.3545468	3.0331318	2.8752134	2.8234773	2.8840027	2.823127
Wdr86	5	24711738	24730727	-	null					Not found	0	1.3610845	0.9896994	1.6997014	2.0827422	2.109753	2.038712	2.1210918	2.3507838	2.0682395
Cnpy1	5	28200819	28245806	-	null					Not found	0	1.118475	5.422937	5.895574	6.1183662	6.2216725	6.3868985	6.4200587	6.541412	6.4472566
Dpysl5	5	30711564	30799375	+	null					Not found	0	1.3315988	4.019447	3.9138265	3.466657	3.2867672	2.7094045	2.776042	2.770213	2.687848
Jakmip1	5	37028335	37150607	+	null					Not found	0	1.0349178	4.2995543	3.9344072	3.7431123	3.5450795	3.4546692	3.2711954	3.3769362	3.2646365
Bst1	5	43818885	43843986	+	null					Not found	0	1.0005376	0.2376269	0.62062985	0.77830154	0.9038487	0.8997357	0.6975928	1.0521253	1.2381645
Fgfbp1	5	43978858	43981779	-	null					Not found	0	3.6123416	-0.46598002	1.2782376	1.8378904	2.5633583	2.982423	3.0728366	3.1463616	3.1414883
Slit2	5	47983138	48307733	+	null					Not found	0	1.0675027	4.013916	3.615541	3.5143976	3.2323196	3.020192	2.9464133	3.019294	2.9989767
9230114K14Rik	5	52190672	52279034	+	null					Not found	0	1.2913449	0.1326574	0.9138262	0.8789955	0.8019691	1.4240023	1.1336919	1.1361896	1.1271331
Lgi2	5	52533517	52566462	-	null					Not found	0	1.014078	0.6141903	1.2522424	0.9882246	0.61434203	0.72778296	0.28820187	0.6177226	0.23816445
Rbpj	5	53466152	53657362	+	null					Not found	0	1.1149368	6.23446	6.5643005	6.873158	7.127631	7.2782865	7.3046618	7.248457	7.3493967
Chrna9	5	65934921	65977326	+	null					Not found	0	2.5114996	-0.9514069	-0.069685675	0.40326214	0.72981936	1.294367	1.5073704	1.3390067	1.5600927
Limch1	5	66745827	67057158	+	null					Not found	0	1.2413139	0.048593134	0.6803361	1.0471183	1.2899071	1.0533588	0.9464134	0.91606385	0.48327687
Kit	5	75574916	75656722	+	null					Not found	0	1.0156431	8.014031	7.752378	7.556181	7.500038	7.358615	7.222446	6.9983883	7.0654187
Gm26582	5	92043064	92055960	+	null					Not found	0	1.3531623	0.9438958	1.6408077	1.716145	1.6243261	2.0964277	2.0826178	2.073605	2.297058
Naaa	5	92257659	92278170	-	null					Not found	0	1.2233504	1.5646083	1.1713225	0.84620565	1.2773072	0.83339316	0.7476335	0.90012234	0.34125793
Ccng2	5	93267257	93276231	+	null					Not found	0	1.3312321	2.6621249	2.239067	1.7783016	1.7481978	1.3308928	1.645754	1.9160639	2.0301714
Fras1	5	96373955	96784728	+	null					Not found	0	1.2990305	1.6141903	1.4481627	0.9424209	0.9990059	0.6528209	0.7311454	0.3151598	0.653202
Gbp4	5	105115767	105139586	-	null					Not found	0	2.5400975	-1.0717012	0.3535258	1.2234411	0.9990059	1.4683963	1.417485	1.4082692	1.3412579
Idua	5	108660331	108684557	+	null					Not found	0	1.0488393	1.5544841	0.8971475	0.63208073	0.9201505	1.0089647	0.7144666	0.63708794	0.5056448
Fgfrl1	5	108692382	108706924	+	null					Not found	0	1.023373	2.0557885	2.0929346	1.5117865	1.1309178	1.3781985	1.0695616	1.3390067	1.2514614
Plcxd1	5	110099969	110105953	+	null					Not found	0	1.0373182	1.690139	1.4133972	1.1846217	0.98357594	0.6528209	0.9029117	0.8840027	0.7120957
Fbrsl1	5	110361754	110448602	-	null					Not found	0	1.0120955	6.6022606	6.4862976	6.1328826	6.007613	5.590165	5.6659546	5.81766	5.836424
Ttc28	5	110879803	111289780	+	null					Not found	0	1.123153	4.3457847	4.5636396	4.003175	3.9241972	3.4546692	3.4404867	3.770213	3.782485
Grk3	5	112910482	113015791	-	null					Not found	0	1.2257943	3.3384278	3.1183412	2.8378904	2.706512	2.5481236	2.2248397	2.3566365	2.1126335
Foxn4	5	114254164	114273807	-	null					Not found	0	1.4125484	2.4708261	2.48211	2.0326188	1.801969	1.3665167	1.0695616	1.2411592	1.36592
Msi1	5	115429599	115455698	+	null					Not found	0	1.1724067	5.445027	5.299019	4.776127	4.687591	4.367982	4.27262	4.543978	4.513944
Hspb8	5	116408491	116422864	-	null					Not found	0	1.2919016	5.900592	5.511857	5.235361	5.0963655	4.8669457	4.767982	4.643087	4.6086903
Tpcn1	5	120534153	120588673	-	null					Not found	0	1.1648085	4.500134	4.316373	3.7652059	3.8559282	3.5193994	3.3353255	3.4608371	3.511183
Rasal1	5	120648812	120679597	+	null					Not found	0	1.1136844	1.6044093	1.2257702	0.49072492	1.1026287	1.023915	0.6975928	0.91606385	0.805205
Dtx1	5	120680202	120711927	-	null					Not found	0	1.0200546	4.2580466	4.0254717	3.8971176	3.8643773	3.7163239	3.445549	3.237992	3.3841436
Cux2	5	121856366	122050102	-	null					Not found	0	1.5315726	2.449131	1.9865826	1.4144894	1.5424492	1.2441812	0.9175585	1.1631567	1.1271331
P2rx4	5	122707544	122729738	+	null					Not found	0	1.4883208	2.2185183	1.6803362	1.4476563	1.3392348	1.5532852	1.1210918	0.7301974	0.87559426
Kdm2b	5	122870665	122989823	-	null					Not found	0	1.0816612	4.8404074	5.38452	5.382687	5.6311507	5.555859	5.6670384	5.8707714	5.9220686
Rilpl1	5	124493080	124531391	-	null					Not found	0	1.4175786	1.9125315	2.3777733	2.6272638	2.8664818	2.9238482	3.1336918	3.33011	3.173275
Rimbp2	5	128757791	128953486	-	null					Not found	0	1.567925	0.6901391	1.1290941	1.5530092	1.5212326	1.6431707	2.1147501	2.0007262	2.258064
Adgrd1	5	129096750	129204599	+	null					Not found	0	1.5221986	0.7085177	1.389746	1.6127154	1.7842671	1.939702	2.2307162	2.0303211	1.9508824
Phkg1	5	129863421	129898549	-	null					Not found	0	1.1844945	1.574662	1.3037728	0.82952684	1.0443299	0.7815543	0.9320581	0.4743584	0.3901675
Castor2	5	134099711	134144343	+	null					Not found	0	1.0095952	1.8141278	2.0177772	1.5325451	1.4444171	1.4240023	1.3862339	1.008182	1.2776928
Cldn4	5	134945119	134946934	-	null					Not found	0	1.1606755	5.7261014	5.3581033	5.314654	5.095469	4.947564	4.77101	4.6274376	4.565426
Adap1	5	139271876	139325622	-	null					Not found	0	1.1872234	5.4948497	5.10206	4.873921	4.6342416	4.532527	4.5230193	4.3076262	4.5000854
Chst12	5	140505550	140525724	+	null					Not found	0	1.0220027	2.559555	2.4308846	2.0326188	1.9835758	1.7815542	1.780055	1.5375524	1.8583164
Radil	5	142484839	142551098	-	null					Not found	0	1.6435264	3.2217207	2.5423453	2.2234411	2.0293796	1.8752134	1.645754	1.5781943	1.8926679
Rasl11a	5	146845071	146847726	+	null					Not found	0	2.5949597	-1.273335	-0.67113626	0.13118249	0.57370013	0.96316105	1.3216249	1.0376258	1.0682396
Fry	5	150118645	150497753	+	null					Not found	0	1.6354487	4.4187574	4.0197043	3.6677048	3.475084	3.2249022	3.0826178	2.7833087	2.8798816
Samd9l	6	3372257	3399572	-	null					Not found	0	2.0082088	0.67152345	1.4250791	1.8789955	2.1858842	2.457425	2.2768865	2.6797323	2.3780947
Peg10	6	4747306	4760517	+	null					Not found	0	2.2470577	3.8225896	4.532929	4.9404807	5.3513074	5.457425	5.759369	5.910604	6.0696473
Ppp1r9a	6	4902917	5165661	+	null					Not found	0	1.3450003	2.8641686	3.7045026	3.913037	4.111529	4.188874	4.207065	4.209169	4.1819816
Pon2	6	5264147	5298455	-	null					Not found	0	1.4159601	0.21209186	0.6803361	0.97311765	1.3632803	1.4352294	1.6280519	1.5375524	1.602218
Ica1	6	8630527	8778488	-	null					Not found	0	1.2711852	0.79705435	1.4366671	1.6320808	1.801969	2.023915	1.6191188	1.8594804	2.0682395
Mdfic	6	15720661	15802169	+	null					Not found	0	1.3713951	3.0557888	2.526165	2.4747245	2.144857	1.939702	1.8955323	1.6843936	1.8320051
Ube2h	6	30211289	30304539	-	null					Not found	0	1.2590063	4.9419556	4.497406	4.253449	4.0517473	3.7793531	3.8039017	3.8717935	3.6829493
Akr1b8	6	34354119	34368463	+	null					Not found	0	1.7292938	0.6141903	1.1002393	1.4693513	1.8956282	1.9785911	2.3434842	2.1764536	2.2711794
Stra8	6	34920163	34939344	+	null					Not found	0	1.2092495	4.9990616	4.4581466	4.236152	4.165516	4.007085	3.8331661	3.789812	3.7938898
Atp6v0a4	6	38048483	38124586	-	null					Not found	0	2.599618	1.3472514	0.47088274	-0.042149063	-0.16326551	-0.6218015	-1.2523664	-1.1994134	-1.0572914
Mkrn1	6	39397804	39420462	-	null					Not found	0	1.4984136	7.0240397	7.639085	8.012325	8.215597	8.414904	8.512958	8.502347	8.522453
Gm10244	6	39419887	39421294	+	null					Not found	0	1.5020392	0.81412786	1.1988032	1.573187	1.4996996	2.038712	2.0497532	2.2411592	2.316167
Zyx	6	42349630	42360213	+	null					Not found	0	2.4955578	0.9125316	2.2190757	2.255011	2.5737	2.52729	2.7999544	3.218841	3.4080894
Epha1	6	42358487	42373268	-	null					Not found	0	5.139236	-2.595263	0.47088274	1.5631335	1.7753339	2.5061512	2.2597454	2.495732	2.543973
Arhgef5	6	43265582	43289320	+	null					Not found	0	1.6741498	-0.10340992	0.27823758	0.49072492	0.7842671	1.205362	1.0826176	1.5478207	1.5707399
Fam221a	6	49367739	49390539	+	null					Not found	0	1.0145729	0.8965901	1.2257702	0.7608141	0.25177205	0.7990416	1.1210918	0.67505574	0.21119733
Halr1	6	52102949	52113684	+	null					Not found	0	1.1647513	3.1596243	3.3867621	3.8105297	4.127412	4.240986	4.3243756	4.297013	4.224744
Evx1	6	52313498	52318378	+	null					Not found	0	5.586334	-3.595263	-0.5749209	0.10370176	0.67323583	1.1519227	1.5170206	1.8345339	1.9910715
Abcg2	6	58584523	58695676	+	null					Not found	0	1.1198642	3.7468116	4.040738	4.350168	4.447232	4.6837454	4.783057	4.866676	4.7559066
Gadd45a	6	67035096	67037457	-	null					Not found	0	2.588452	2.1662881	2.8717623	3.624849	4.04433	4.283537	4.622475	4.733575	4.75474
Rnf103	6	71493894	71510881	+	null					Not found	0	1.4957004	1.6044093	1.1851283	0.7431122	0.8019691	0.25689223	0.35429108	0.10870901	0.21119733
Reep1	6	71707561	71810710	+	null					Not found	0	1.2717457	3.724409	3.325751	3.068598	2.8873606	2.83763	2.8273606	2.4526634	2.5056448
Capg	6	72544391	72562983	+	null					Not found	0	1.3044214	1.28738	1.9627358	2.1911647	2.3086033	2.4183557	2.5689726	2.4250774	2.5918014
Gm37969	6	72635147	72638555	-	null					Not found	0	1.4945657	0.6141903	1.2257702	0.9882246	0.63424176	0.4240022	0.39672628	0.21562424	-0.26879555
Sema4f	6	82911885	82939769	-	null					Not found	0	1.0181216	1.3820168	1.6900513	1.0031749	1.1026287	0.6719297	0.9320581	1.0376258	1.1271331
Tlx2	6	83068324	83070293	-	null					Not found	0	2.0742302	2.112096	1.9786774	1.1846217	1.2773072	0.6719297	0.14618285	0.5375523	0.037865795
Hmces	6	87913935	87936629	+	null					Not found	0	1.3484974	4.7862797	5.350466	5.6770577	5.816194	5.9733057	6.1103745	6.0802526	6.134777
Hdac11	6	91156665	91174692	+	null					Not found	0	1.1724113	1.3354744	1.3777733	1.0471183	0.7663452	0.20536192	0.5919826	0.3624656	0.76867914
Fbln2	6	91212455	91272540	+	null					Not found	0	1.9750942	1.4708263	0.93031436	0.42562994	0.17233762	0.06785841	-0.18823619	-0.50426793	0.06823952
Trh	6	92242061	92244650	-	null					Not found	0	3.002543	5.085097	6.4831576	7.065263	7.497664	7.7688527	7.950648	8.08764	8.047665
Prickle2	6	92370908	92706155	-	null					Not found	0	2.164188	2.518479	1.7655035	1.6511896	1.1586627	1.0678585	0.35429108	0.43063706	0.653202
Eogt	6	97110024	97149182	-	null					Not found	0	1.2061994	2.3934216	2.6656396	2.747558	3.0737736	3.0569975	3.2510977	3.3390067	3.599621
Frmd4b	6	97286867	97617541	-	null					Not found	0	1.1603992	4.6347575	4.291062	4.0614734	3.773092	3.667176	3.6435528	3.4743583	3.5249362
Pdzrn3	6	101149609	101377897	-	null					Not found	0	2.132132	1.9438958	1.0558453	0.7431122	0.67323583	0.06785841	-0.18823619	0.29091236	0.23816445
Srgap3	6	112717971	112947266	-	null					Not found	0	1.8683113	3.5053992	3.229106	2.5831711	2.639174	2.038712	1.8656306	1.637088	1.9179051
Il17rc	6	113471427	113483140	+	null					Not found	0	1.8470901	2.1860967	1.4250791	0.9882246	0.9201505	0.6719297	0.9029117	0.33900657	0.36592004
Prrt3	6	113493639	113501931	-	null					Not found	0	1.2002313	4.295001	3.9924834	3.4774036	3.5941644	3.1416786	3.1554806	3.0947697	3.1235218
Atp2b2	6	113743831	114042613	-	null					Not found	0	4.572817	1.7884412	0.6001657	0.18462174	-1.0961512	-1.1836804	-2.1268356	-2.7843757	-1.8162833
Cxcl12	6	117168535	117181367	+	null					Not found	0	3.1364727	1.4271047	0.756285	0.31015274	-0.27018067	-0.9321416	-1.3898699	-0.89129096	-1.7093681
Rasgef1a	6	118011438	118091546	+	null					Not found	0	1.9925431	3.1051767	2.6408076	2.3221254	2.1858842	1.8997357	1.3216249	1.3855492	1.1126336
Wnt5b	6	119432531	119544347	-	null					Not found	0	1.1198416	1.449131	2.1002395	2.210617	2.2192042	2.2943668	2.5689726	2.5580163	2.4945042
Vamp1	6	125215551	125245964	+	null					Not found	0	1.1387997	2.1326575	1.8459221	1.9731177	1.5318799	0.9938578	1.5455897	1.2026851	1.3412579
Plekhg6	6	125362660	125380793	-	null					Not found	0	1.6073515	1.6141903	1.3657005	0.97311765	0.48881122	0.5114651	0.35429108	0.13618962	0.0068388213
Vwf	6	125546774	125686679	+	null					Not found	0	1.9130478	2.2439406	1.6900513	1.1581496	0.98357594	0.3308928	0.5170205	0.57819426	0.3901675
Ccnd2	6	127125162	127152193	-	null					Not found	0	3.63023	1.1326574	2.3412476	3.2138336	3.8324347	4.3142667	4.5049477	4.698288	4.7628875
Prmt8	6	127689011	127769472	-	null					Not found	0	1.7971808	3.5365937	2.8107328	2.5530093	2.3927844	2.0089648	1.7394129	1.9318312	1.7500634
Tead4	6	128224288	128300823	-	null					Not found	0	1.7809961	2.7710593	3.6972947	3.6886642	4.109753	4.2473693	4.299429	4.365371	4.5520554
Gm10069	6	128438757	128503281	+	null					Not found	0	1.1602926	1.8723426	1.7188102	1.6606499	1.3986135	0.850267	1.4379491	0.71205	0.95901036
Gpr19	6	134869093	134898578	-	null					Not found	0	1.3129325	3.8865366	3.2814543	3.2518852	2.8324344	2.718623	2.573604	2.646674	2.6177034
Plbd1	6	136612070	136661928	-	null					Not found	0	1.3520944	1.3589332	1.2652985	0.7431122	0.7842671	0.70940447	0.3325959	0.38554925	0.0068388213
Arhgdib	6	136923655	136941899	-	null					Not found	0	1.2795011	-0.16899832	0.6001657	0.5117865	0.22577685	1.1105027	0.4581268	0.69367146	0.8926679
Rerg	6	137054825	137170497	-	null					Not found	0	3.2913985	-0.6883725	1.3037728	1.2980798	1.9201505	2.1855536	2.4829588	2.6030262	2.597019
Etnk1	6	143167221	143232307	+	null					Not found	0	1.1100893	6.724127	7.334101	7.4737186	7.594799	7.655524	7.661067	7.8088818	7.834216
Rassf8	6	145746748	145821079	+	null					Not found	0	1.0209959	2.0120673	1.8632002	1.4476563	1.466785	1.5532852	1.3542911	1.2662503	0.9910715
Etfbkmt	6	149139849	149151171	+	null					Not found	0	1.0866735	0.28737998	0.94661623	0.8789955	1.1586627	1.0089647	1.3434844	1.3740535	1.328767
Cacng7	7	3332955	3368221	+	null					Not found	0	1.734761	2.2934802	3.143308	3.3310401	3.5131955	3.7946894	3.9623942	3.9875853	4.028241
Usp29	7	6730578	6967219	+	null					Not found	0	2.049579	1.7797763	1.2910618	0.63208073	0.27730712	0.46839634	0.09555686	-0.2698026	0.29063186
Aurkc	7	6995300	7003091	+	null					Not found	0	1.6682284	4.1958995	3.5715451	3.4004416	3.0256178	2.8710854	2.8881147	2.7256818	2.527671
Crxos	7	15882617	15904020	+	null					Not found	0	2.025265	3.972693	3.534278	2.9693162	2.7018049	2.5838735	2.265482	1.947428	2.0906072
Nova2	7	18925888	18965319	+	null					Not found	0	1.1710925	3.305604	3.4279847	2.8462055	2.7618299	2.2568922	2.2768865	2.385549	2.638095
Mark4	7	19424775	19458821	-	null					Not found	0	1.5279613	4.9194508	4.683987	4.1071653	3.948243	3.451908	3.3914895	3.5401263	3.6099815
Exoc3l2	7	19463331	19496762	+	null					Not found	0	2.2830453	2.1258361	1.9786774	1.0471183	0.19930466	0.2819832	-0.15720925	0.21562424	0.06823952
Plaur	7	24462484	24475968	+	null					Not found	0	1.9438903	1.0629485	1.2652985	1.8462056	2.2581985	2.5377443	2.8580575	3.004459	3.0068388
Atp1a3	7	24978167	25005958	-	null					Not found	0	1.2512281	3.892577	3.7259111	3.1106212	3.0331318	2.6528208	2.6413488	2.7919736	2.7686791
Pou2f2	7	25087344	25179726	-	null					Not found	0	1.4256912	1.5236781	0.93031436	0.7251902	0.48881122	0.57374936	0.6975928	0.26625025	0.09798677
Tgfb1	7	25687002	25705077	+	null					Not found	0	1.6883774	1.250227	1.7188102	1.8544732	2.1655164	2.3127456	2.4878743	2.8303342	2.9386044
Cyp2s1	7	25802475	25816913	-	null					Not found	0	1.3158438	1.3589332	1.1573833	0.4476562	0.8367345	0.4240022	0.04308938	0.29091236	0.3901675
Nlrp4a	7	26435113	26476142	+	null					Not found	0	1.0704682	1.726665	1.5476984	1.1976781	1.0293795	1.0387121	1.1708448	0.6561968	0.9910715
Dyrk1b	7	28179469	28187294	+	null					Not found	0	1.2031271	2.256486	2.0855925	1.8378904	1.5318799	1.0533588	1.3434844	1.6936713	1.6532019
Fbxo27	7	28692849	28699338	+	null					Not found	0	1.1779357	1.9896995	1.6307541	1.5530092	1.466785	1.0964276	0.81176376	1.0229791	0.8926679
Spred3	7	29158829	29170411	-	null					Not found	0	2.2546172	0.10517671	1.3412474	1.7431121	1.6828219	2.0964277	2.101983	2.3151598	2.359794
Zfp30	7	29783998	29794702	+	null					Not found	0	1.0640643	1.8141278	1.3657005	1.5325451	1.4444171	1.31882	0.8881147	1.0229791	0.75006354
Zbtb32	7	30589681	30598909	-	null					Not found	0	1.185649	1.0912374	1.7282705	1.5930866	2.0517476	2.0822136	2.2768865	2.2348177	2.258064
Upk1a	7	30603092	30612847	-	null					Not found	0	1.3256872	-0.071701124	0.25224242	0.5731871	0.63424176	0.9475642	1.253986	0.49573207	0.76867914
Scn1b	7	31116524	31127003	-	null					Not found	0	1.1593238	1.3705212	1.2390671	1.2612432	0.7663452	0.8997357	0.8580575	0.6177226	0.21119733
Rhpn2	7	35334170	35392289	+	null					Not found	0	1.4297218	5.6976337	5.1397676	5.0289707	4.863324	4.500818	4.425193	4.4499283	4.267912
Cd37	7	45233632	45239115	-	null					Not found	0	2.507708	1.3934215	2.1362185	2.6886644	3.4723232	3.7070906	3.861849	3.8635964	3.9011295
Tulp2	7	45481877	45523632	+	null					Not found	0	1.5064225	2.7841153	2.2717826	2.096749	1.7390379	1.5325267	1.5266066	1.303087	1.2776928
Trpm1	7	64153835	64269775	+	null					Not found	0	1.3978982	5.449131	4.9303145	4.7783017	4.3224683	4.1805587	4.0712	4.0947695	4.051233
Fam189a1	7	64756091	65156570	-	null					Not found	0	1.3442819	2.1258361	1.9138262	1.4800777	1.1309178	0.7815543	0.87316436	1.0521253	1.0224358
Igf1r	7	67952827	68233668	+	null					Not found	0	1.1359627	3.6993577	4.530227	4.4747243	4.7193775	4.5648317	4.5325656	4.708622	4.8353205
Mctp2	7	72077830	72306608	-	null					Not found	0	1.9315631	0.84768045	0.756285	1.4693513	1.944263	2.2757514	2.4780264	2.5881782	2.687848
Rgma	7	73375509	73419899	+	null					Not found	0	1.9422606	3.6141903	3.3100865	2.5012941	2.3869317	1.6719297	1.7639352	1.8512129	1.7120957
Ntrk3	7	78175959	78738012	-	null					Not found	0	2.0331054	2.9593258	2.470883	2.003175	1.4888114	1.205362	1.332596	1.0664808	0.9262204
Rhcg	7	79593363	79617657	-	null					Not found	0	1.5141582	1.9516314	0.94661623	1.4585446	0.7842671	0.8997357	0.5736041	0.59809387	0.4374732
Anpep	7	79821803	79861059	-	null					Not found	0	1.7235272	1.0771623	2.0707955	2.3516293	2.5212326	2.401282	2.5828226	2.6982882	2.8006895
Alpk3	7	81057600	81105612	+	null					Not found	0	1.0716319	5.2209206	4.947629	4.540253	4.4709406	4.3767433	4.1492887	4.236406	4.199239
Cpeb1	7	81347026	81455465	-	null					Not found	0	1.2196529	3.6502898	3.5872264	3.1243613	2.8915002	2.7946897	2.573604	2.430637	2.5654259
Ap3b2	7	81460399	81493925	-	null					Not found	0	1.4870572	5.3690777	5.017777	4.682873	4.400067	4.2119045	4.1723723	4.0229793	3.8820205
2900076A07Rik	7	81523550	81531498	+	null					Not found	0	1.0393233	3.084217	3.0483117	2.7826405	2.806361	2.4792848	2.44302	2.0448937	2.2381644
Whamm	7	81571266	81596836	+	null					Not found	0	1.2350726	4.161293	3.8950489	3.5091705	3.264596	3.046054	3.0161223	3.0947697	2.9262204
Mex3b	7	82867333	82871515	+	null					Not found	0	1.6037982	2.0120673	1.7282705	1.2736269	1.3023981	0.7459303	0.9320581	0.40826923	1.1126336
Cemip	7	83932857	84086502	-	null					Not found	0	2.9773588	1.6335555	0.6001657	0.31015274	0.3023981	-0.4060728	-0.4263959	-1.3438032	-0.34679803
Capn5	7	98121559	98178274	-	null					Not found	0	2.0441525	5.7147818	5.4067845	4.744225	4.628052	4.2663527	3.9157357	3.898117	3.6706293
Omp	7	98143359	98145502	-	null					Not found	0	1.5200295	1.250227	0.66070735	0.2859052	0.22577685	0.09642755	-0.09708828	-0.2698026	-0.19479498
Wnt11	7	98835112	98855195	+	null					Not found	0	1.5946586	1.3934215	1.7655035	0.77830154	0.9201505	0.61382675	0.17084485	0.45266342	0.95901036
Gm45837	7	101410886	101512819	+	null					Not found	0	1.4017941	1.8393651	2.0558453	2.151455	2.4387705	2.695465	2.9851692	3.2411592	3.2111974
Pde2a	7	101421691	101512827	+	null					Not found	0	1.7541729	1.3820168	1.7188102	1.926824	2.2899072	2.5635536	2.9029117	3.1361897	3.116272
Cnga4	7	105404568	105408742	+	null					Not found	0	1.360033	2.0912375	1.6997014	1.6224307	1.3392348	0.9785911	1.2307163	0.91606385	0.73120445
Apbb1	7	105558483	105581653	-	null					Not found	0	1.2988555	3.5080247	3.1851282	2.8789957	2.7344358	2.6907887	2.6146312	2.2091691	2.5331254
Dkk3	7	112116017	112159057	-	null					Not found	0	1.7766865	1.7085178	1.2910618	0.8951152	0.72981936	-0.052435827	0.04308938	-0.0681688	0.09798677
Xylt1	7	117380979	117673580	+	null					Not found	0	1.4431125	-0.27333498	0.6408077	0.4476562	0.61434203	0.2819832	1.0024475	0.9474281	1.1697775
Tmc7	7	118535841	118584736	-	null					Not found	0	2.610258	3.1596243	2.2782376	1.5117865	1.1168425	0.83339316	0.7311454	0.8176602	0.5493661
Spn	7	127132232	127137823	-	null					Not found	0	2.7230809	0.6335556	1.5152769	1.6029344	2.3573065	2.7946897	3.0793648	3.3566365	3.1837168
Stx1b	7	127803900	127824549	-	null					Not found	0	1.0663335	1.6993576	1.5261651	1.0614736	0.9201505	0.72778296	0.780055	0.7481192	0.63302404
Gm33027	7	129398102	129403090	-	null					Not found	0	2.8912857	2.2995548	1.5583457	1.0179719	0.51050633	0.23135714	0.31056964	-0.5917308	-0.38744003
Fgfr2	7	130162451	133123350	-	null					Not found	0	1.0415955	4.587131	4.1201386	3.9307392	3.8388798	3.5455356	3.5988147	3.7120502	3.6804938
Htra1	7	130936111	130985660	+	null					Not found	0	1.2947794	1.0046498	1.5043057	1.9424208	2.066469	2.2819834	2.2994292	1.923969	2.1199017
Kndc1	7	139894696	139941537	+	null					Not found	0	2.0885897	-0.73728204	0.17132251	0.7608141	1.3513076	0.61382675	0.9320581	0.7301974	0.8231269
Utf1	7	139943789	139945112	+	null					Not found	0	4.4175644	1.6993576	4.583322	5.249536	5.709446	5.85863	5.979073	6.116922	6.078534
Olfr539	7	140659930	140678580	+	null					Not found	0	1.5523719	2.7221494	2.5207312	2.2361522	1.8622696	1.412687	1.2307163	1.5980939	1.1697775
Eps8l2	7	141338880	141363020	+	null					Not found	0	1.5991358	2.0771623	1.2782376	1.0179719	1.1586627	0.76385224	0.47802648	0.57819426	0.6731014
Fgf3	7	144838083	144844436	+	null					Not found	0	1.8787457	2.353104	1.9466163	1.380542	1.0737736	0.91585535	1.1461829	0.4743584	0.6927303
Evi5l	8	4166567	4211257	+	null					Not found	0	1.1389785	1.7710593	1.2123498	0.63208073	1.0443299	0.83339316	0.6975928	0.7658213	1.0682396
Efnb2	8	8617434	8661242	-	null					Not found	0	1.1438525	2.070073	1.6607074	1.2736269	1.5105063	1.3547395	1.0955569	1.3624656	0.9262204
Myom2	8	15057653	15133541	+	null					Not found	0	2.7265465	3.1120958	2.1713226	1.5325451	1.3986135	0.83339316	0.81176376	0.38554925	0.5056448
Zfp703	8	26977325	26981461	+	null					Not found	0	2.2802951	1.404737	1.1002393	0.18462174	0.059126906	-0.8755581	-0.7117981	-0.3438032	-0.6098325
Adgra2	8	27085583	27123436	+	null					Not found	0	1.3655219	3.4019165	2.888735	2.363264	2.444417	2.1382477	2.0363946	2.1564622	2.0378659
Dusp4	8	34807297	34819894	+	null					Not found	0	3.9458187	-0.59526306	0.8971475	1.716145	2.320934	2.5889091	2.9886415	3.300053	3.3505557
Prag1	8	36094828	36147787	+	null					Not found	0	1.3144743	2.690139	2.2846637	1.8126531	1.7573001	1.4683963	1.3756647	1.8261218	1.5707399
Vegfc	8	54077606	54187096	+	null					Not found	0	1.2772461	1.9971939	2.6607072	2.8830423	3.1344151	3.0857801	3.1083808	3.2091691	3.27444
Lpl	8	68880491	68907448	+	null					Not found	0	1.0497658	2.9971938	2.8328266	2.7783017	2.5890753	2.5481236	2.4071429	1.947428	2.2111974
